Description	Category	Subcategory	Payment	Date	Gains/Expenses	Checking Balance
Payday	Income	Earnings	Checking	8/6/2021	1642.20	2324.74
Chase CC Points	Income	Reimbursements	Chase CC	8/6/2021	425.00	2324.74
Speedway	Wants	Free Spending	Chase CC	8/6/2021	23.39	2324.74
Coinbase	Savings	Crypto Savings	Checking	8/6/2021	50.00	2274.74
Apple CC	CC Payment	CC Payment	Checking	8/6/2021	63.11	2211.63
Costco	Wants	Free Spending	Chase CC	8/6/2021	68.12	2211.63
Emergency Savings	Savings	Emergency Savings	Checking	8/6/2021	200.00	2011.63
Chase CC	CC Payment	CC Payment	Checking	8/6/2021	980.94	1030.69
Northgate	Wants	Free Spending	Citi CC	8/8/2021	2.95	1030.69
Flamin Curry	Wants	Free Spending	Chase CC	8/8/2021	15.82	1030.69
Ralphs	Wants	Free Spending	Citi CC	8/8/2021	42.31	1030.69
Airbnb	Wants	Free Spending	Chase CC	8/8/2021	279.26	1030.69
Amazon CC	CC Payment	CC Payment	Checking	8/10/2021	84.34	946.35
Electric Bill	Needs	Electric Bill	Checking	8/10/2021	106.06	840.29
Laundry	Needs	Laundry	Chase CC	8/11/2021	10.00	840.29
Reimbursement	Wants	Free Spending	Checking	8/12/2021	20.00	860.29
OC Fair	Wants	Free Spending	Chase CC	8/12/2021	21.44	860.29
OC Fair	Wants	Free Spending	Chase CC	8/12/2021	28.00	860.29
OC Fair	Wants	Free Spending	Chase CC	8/12/2021	30.00	860.29
Withdrawal	Wants	Free Spending	Checking	8/12/2021	100.00	760.29
Starbucks	Wants	Free Spending	Amazon CC	8/13/2021	10.00	760.29
Urban Plates	Wants	Free Spending	Chase CC	8/13/2021	17.19	760.29
Chevron	Needs	Gas	Citi CC	8/13/2021	28.90	760.29
Coinbase	Savings	Crypto Savings	Checking	8/13/2021	50.00	710.29
Speedway	Needs	Gas	Citi CC	8/13/2021	69.06	710.29
Chromatic Coffee	Wants	Free Spending	Chase CC	8/14/2021	6.99	710.29
7 Eleven	Wants	Free Spending	Chase CC	8/14/2021	10.18	710.29
Target	Wants	Free Spending	Chase CC	8/14/2021	15.48	710.29
Bear & the Wren	Wants	Free Spending	Chase CC	8/14/2021	30.00	710.29
Federal Loans	Needs	Student Loans	Checking	8/14/2021	108.05	602.24
Sushi O Sushi	Wants	Free Spending	Chase CC	8/14/2021	115.00	602.24
Vending Machine	Wants	Free Spending	Chase CC	8/16/2021	2.85	602.24
Chevron	Wants	Free Spending	Citi CC	8/16/2021	4.47	602.24
Ralph's	Needs	Groceries	Citi CC	8/16/2021	21.39	602.24
Breakfast Club	Wants	Free Spending	Chase CC	8/16/2021	30.00	602.24
Venmo	Wants	Free Spending	Checking	8/16/2021	35.00	567.24
Trader Joe's	Needs	Groceries	Citi CC	8/16/2021	39.58	567.24
Chevron	Needs	Gas	Citi CC	8/16/2021	65.13	567.24
Costco	Wants	Free Spending	Chase CC	8/16/2021	94.95	567.24
Amazon	Wants	Free Spending	Amazon CC	8/18/2021	24.33	567.24
Payday	Income	Earnings	Checking	8/20/2021	2277.24	2844.48
McDonald's	Wants	Free Spending	Chase CC	8/20/2021	11.29	2844.48
Karl Strauss	Wants	Free Spending	Chase CC	8/20/2021	33.00	2844.48
LA Fitness	Wants	Subscriptions	Chase CC	8/20/2021	34.99	2844.48
Jiffy Lube	Needs	Misc.	Chase CC	8/20/2021	42.99	2844.48
Coinbase	Savings	Crypto Savings	Checking	8/20/2021	50.00	2794.48
Withdrawal	Wants	Free Spending	Checking	8/20/2021	60.00	2734.48
Speedway	Needs	Gas	Citi CC	8/20/2021	69.92	2734.48
Emergency Savings	Savings	Emergency Savings	Checking	8/20/2021	200.00	2534.48
Citi CC	CC Payment	CC Payment	Checking	8/20/2021	416.49	2117.99
Chase CC	CC Payment	CC Payment	Checking	8/20/2021	600.00	1517.99
Domino's	Wants	Free Spending	Chase CC	8/22/2021	35.88	1517.99
Reimbursement	Income	Reimbursements	Checking	8/23/2021	46.00	1563.99
Reimbursement	Income	Reimbursements	Checking	8/23/2021	18.00	1581.99
McDonald's	Wants	Free Spending	Chase CC	8/23/2021	8.38	1581.99
Renter's Insurance	Needs	Renter's Insurance	Checking	8/24/2021	59.50	1522.49
Coinbase	Savings	Crypto Savings	Checking	8/26/2021	50.00	1472.49
In N Out	Wants	Free Spending	Chase CC	8/27/2021	11.21	1472.49
Disney+	Wants	Subscriptions	Chase CC	8/28/2021	13.99	1472.49
Internet Bill	Needs	Internet Bill	Checking	8/28/2021	83.99	1388.50
Car Insurance	Needs	Car Insurance	Checking	8/28/2021	143.95	1244.55
Raising Cane's	Wants	Free Spending	Chase CC	8/29/2021	13.75	1244.55
85C Bakery	Wants	Free Spending	Chase CC	8/29/2021	22.63	1244.55
Starbucks	Wants	Free Spending	Amazon CC	8/30/2021	10.00	1244.55
El Pollo Loco	Wants	Free Spending	Chase CC	8/30/2021	10.01	1244.55
Salt and Straw	Wants	Free Spending	Chase CC	8/30/2021	15.52	1244.55
Valhalla	Wants	Subscriptions	Checking	8/30/2021	100.00	1144.55
Bill Reimbursement	Income	Reimbursements	Checking	8/31/2021	124.78	1269.33
FivePoint	Wants	Free Spending	Chase CC	9/1/2021	17.25	1269.33
FivePoint	Wants	Free Spending	Chase CC	9/1/2021	19.55	1269.33
Speedway	Needs	Gas	Citi CC	9/1/2021	64.38	1269.33
Rent	Needs	Rent	Checking	9/1/2021	1101.11	168.22
In N Out	Wants	Free Spending	Chase CC	9/2/2021	8.89	168.22
Payday	Income	Earnings	Checking	9/3/2021	1642.19	1810.41
Coinbase	Savings	Crypto Savings	Checking	9/3/2021	50.00	1760.41
Apple CC	CC Payment	CC Payment	Checking	9/3/2021	63.11	1697.30
Emergency Savings	Savings	Emergency Savings	Checking	9/3/2021	200.00	1497.30
Chase CC	CC Payment	CC Payment	Checking	9/3/2021	1313.99	183.31
Tacos Super Gallito	Wants	Free Spending	Chase CC	9/5/2021	12.02	183.31
Lyft	Wants	Free Spending	Chase CC	9/5/2021	14.36	183.31
CA Fish Grill	Wants	Free Spending	Chase CC	9/6/2021	27.55	183.31
Wingstop	Wants	Free Spending	Chase CC	9/6/2021	35.24	183.31
Del Taco	Wants	Free Spending	Chase CC	9/7/2021	12.67	183.31
Amazon CC	CC Payment	CC Payment	Checking	9/7/2021	43.33	139.98
Target	Wants	Free Spending	Chase CC	9/8/2021	15.50	139.98
Costco	Wants	Free Spending	Chase CC	9/8/2021	69.62	139.98
Manaow	Wants	Free Spending	Chase CC	9/8/2021	90.00	139.98
Starbucks	Wants	Free Spending	Amazon CC	9/9/2021	19.00	139.98
Electric Bill	Needs	Electric Bill	Checking	9/9/2021	83.82	56.16
Stock Portfolio	Income	Earnings	Checking	9/10/2021	809.89	866.05
Coinbase	Savings	Crypto Savings	Checking	9/10/2021	50.00	816.05
Gelato Paradiso	Wants	Free Spending	Chase CC	9/11/2021	11.50	816.05
Barnes and Noble	Wants	Free Spending	Chase CC	9/12/2021	10.76	816.05
Noodology	Wants	Free Spending	Chase CC	9/12/2021	16.15	816.05
Kohl's	Wants	Free Spending	Chase CC	9/12/2021	148.96	816.05
Shell	Needs	Gas	Citi CC	9/13/2021	10.02	816.05
Food	Wants	Free Spending	Checking	9/13/2021	47.00	769.05
Withdrawal for MX	Wants	Free Spending	Checking	9/13/2021	520.00	249.05
Collectivo Taxi	Wants	Free Spending	Amazon CC	9/14/2021	16.12	249.05
Los Pacos	Wants	Free Spending	Amazon CC	9/14/2021	30.94	249.05
Federal Loans	Needs	Student Loans	Checking	9/14/2021	108.05	141.00
Lyft	Wants	Free Spending	Chase CC	9/15/2021	31.99	141.00
Los Danzantes	Wants	Free Spending	Amazon CC	9/15/2021	65.69	141.00
Payday	Income	Earnings	Checking	9/17/2021	1642.21	1783.21
Coinbase	Savings	Crypto Savings	Checking	9/17/2021	50.00	1733.21
Citi CC	CC Payment	CC Payment	Checking	9/17/2021	408.09	1325.12
Mayordomo	Wants	Free Spending	Amazon CC	9/18/2021	3.52	1325.12
Pan:AM	Wants	Free Spending	Amazon CC	9/18/2021	28.19	1325.12
LA Fitness	Wants	Subscriptions	Chase CC	9/20/2021	34.99	1325.12
Pitiona	Wants	Free Spending	Amazon CC	9/20/2021	79.47	1325.12
Covid 19 Test	Wants	Free Spending	Amazon CC	9/21/2021	17.33	1325.12
Airport Snacks	Wants	Free Spending	Amazon CC	9/21/2021	17.88	1325.12
Pan:AM	Wants	Free Spending	Amazon CC	9/21/2021	21.79	1325.12
Los Pacos	Wants	Free Spending	Amazon CC	9/21/2021	30.05	1325.12
Volaris Bag Check	Wants	Free Spending	Amazon CC	9/21/2021	69.47	1325.12
Reimbursement	Wants	Free Spending	Checking	9/22/2021	33.75	1358.87
Poached Neighbor	Wants	Free Spending	Chase CC	9/22/2021	67.50	1358.87
Lyft	Wants	Free Spending	Chase CC	9/23/2021	31.99	1358.87
Speedway	Needs	Gas	Citi CC	9/23/2021	70.78	1358.87
Ralphs	Wants	Free Spending	Citi CC	9/24/2021	7.99	1358.87
El Pollo Loco	Wants	Free Spending	Chase CC	9/24/2021	10.01	1358.87
Coinbase	Savings	Crypto Savings	Checking	9/24/2021	50.00	1308.87
Withdrawal	Wants	Free Spending	Checking	9/24/2021	100.00	1208.87
Costco	Needs	Groceries	Chase CC	9/24/2021	115.76	1208.87
HBO Max	Wants	Subscriptions	Chase CC	9/26/2021	7.49	1208.87
Venmo	Wants	Free Spending	Checking	9/27/2021	40.00	1168.87
Internet Bill	Needs	Internet Bill	Checking	9/28/2021	83.99	1084.88
Car Insurance	Needs	Car Insurance	Checking	9/28/2021	142.80	942.08
ESPN+	Wants	Subscriptions	Chase CC	9/29/2021	6.99	942.08
Trader Joe's	Needs	Groceries	Citi CC	9/29/2021	75.24	942.08
Bill Reimbursement	Income	Reimbursements	Checking	9/30/2021	83.91	1025.99
Savings Transfer	Income	Savings Transfer	Checking	9/30/2021	1500.00	2525.99
ECSI Loans	Needs	Student Loans	Checking	9/30/2021	1546.98	979.01
Payday	Income	Earnings	Checking	10/1/2021	1642.19	2621.20
Coinbase	Savings	Crypto Savings	Checking	10/1/2021	50.00	2571.20
Brokerage Contribution	Savings	Taxable Brokerage	Checking	10/1/2021	200.00	2371.20
Rent	Needs	Rent	Checking	10/1/2021	1116.95	1254.25
Northgate	Wants	Free Spending	Citi CC	10/2/2021	0.99	1254.25
Target	Wants	Free Spending	Chase CC	10/2/2021	25.31	1254.25
Withdrawal	Wants	Free Spending	Checking	10/2/2021	200.00	1054.25
McDonald's	Wants	Free Spending	Chase CC	10/3/2021	7.21	1054.25
Starbucks	Wants	Free Spending	Amazon CC	10/3/2021	10.00	1054.25
Domino's	Wants	Free Spending	Chase CC	10/3/2021	20.22	1054.25
Norm's	Wants	Free Spending	Chase CC	10/3/2021	43.78	1054.25
Speedway	Needs	Gas	Citi CC	10/5/2021	69.37	1054.25
OF	Wants	Free Spending	Citi CC	10/7/2021	5.25	1054.25
Albertson's	Wants	Free Spending	Citi CC	10/8/2021	12.24	1054.25
Palma's Smoke Shop	Wants	Free Spending	Chase CC	10/8/2021	14.22	1054.25
Van Gogh Parking	Wants	Free Spending	Chase CC	10/8/2021	26.00	1054.25
Thai Patio	Wants	Free Spending	Chase CC	10/8/2021	48.00	1054.25
Coinbase	Savings	Crypto Savings	Checking	10/8/2021	50.00	1004.25
Apple CC	CC Payment	CC Payment	Checking	10/8/2021	63.15	941.10
Parking	Wants	Free Spending	Chase CC	10/9/2021	15.00	941.10
Parking	Wants	Free Spending	Checking	10/9/2021	20.00	921.10
Starbucks	Wants	Free Spending	Amazon CC	10/9/2021	20.00	921.10
Kayaking	Wants	Free Spending	Chase CC	10/9/2021	24.00	921.10
Chipotle	Wants	Free Spending	Chase CC	10/9/2021	27.61	921.10
Knife Convention	Wants	Free Spending	Chase CC	10/9/2021	40.00	921.10
Top Shelf Tacos	Wants	Free Spending	Chase CC	10/9/2021	49.61	921.10
Ralph's	Needs	Groceries	Citi CC	10/10/2021	65.98	921.10
Electric Bill	Needs	Electric Bill	Checking	10/10/2021	68.52	852.58
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	10/12/2021	125.00	852.58
Federal Loans	Needs	Student Loans	Checking	10/14/2021	308.05	544.53
Payday	Income	Earnings	Checking	10/15/2021	1642.20	2186.73
Chipotle	Wants	Free Spending	Chase CC	10/15/2021	10.99	2186.73
Coinbase	Savings	Crypto Savings	Checking	10/15/2021	50.00	2136.73
Citi CC	CC Payment	CC Payment	Checking	10/15/2021	165.02	1971.71
Brokerage Contribution	Savings	Taxable Brokerage	Checking	10/15/2021	200.00	1771.71
Amazon CC	CC Payment	CC Payment	Checking	10/15/2021	409.45	1362.26
Chase CC	CC Payment	CC Payment	Checking	10/15/2021	896.86	465.40
Return @ Costco	Wants	Free Spending	Chase CC	10/17/2021	32.84	465.40
Coldstone	Wants	Free Spending	Chase CC	10/17/2021	10.89	465.40
Trader Joe's	Wants	Free Spending	Chase CC	10/17/2021	32.27	465.40
Costco	Wants	Free Spending	Chase CC	10/17/2021	126.01	465.40
Stephanie	Wants	Free Spending	Checking	10/18/2021	5.00	460.40
LA Fitness	Wants	Subscriptions	Chase CC	10/20/2021	34.99	460.40
California Fish Grill	Wants	Free Spending	Chase CC	10/22/2021	12.66	460.40
Coinbase	Savings	Crypto Savings	Checking	10/22/2021	50.00	410.40
Speedway	Needs	Gas	Citi CC	10/22/2021	72.65	410.40
Withdrawak	Wants	Free Spending	Checking	10/22/2021	100.00	310.40
Target	Wants	Free Spending	Chase CC	10/23/2021	6.67	310.40
Sessions Deli	Wants	Free Spending	Chase CC	10/23/2021	12.93	310.40
Exhumed Tickets	Wants	Free Spending	Chase CC	10/23/2021	28.48	310.40
IHOP	Wants	Free Spending	Chase CC	10/24/2021	24.00	310.40
McDonald's	Wants	Free Spending	Chase CC	10/25/2021	7.00	310.40
Amazon	Wants	Free Spending	Amazon CC	10/25/2021	36.40	310.40
HBO Max	Wants	Subscriptions	Chase CC	10/26/2021	7.49	310.40
Amazon	Wants	Free Spending	Amazon CC	10/26/2021	35.00	310.40
Amazon	Wants	Free Spending	Amazon CC	10/26/2021	38.72	310.40
Venmo	Wants	Free Spending	Checking	10/27/2021	60.00	250.40
Internet Bill	Needs	Internet Bill	Checking	10/28/2021	83.99	166.41
Car Insurance	Needs	Car Insurance	Checking	10/28/2021	142.80	23.61
Idaho Plan Tickets	Wants	Free Spending	Chase CC	10/28/2021	173.26	23.61
Payday	Income	Earnings	Checking	10/29/2021	1642.19	1665.80
ESPN+	Wants	Subscriptions	Chase CC	10/29/2021	6.99	1665.80
McDonald's	Wants	Free Spending	Chase CC	10/29/2021	14.84	1665.80
Pho Crystal 3	Wants	Free Spending	Chase CC	10/29/2021	45.00	1665.80
Coinbase	Savings	Crypto Savings	Checking	10/29/2021	60.00	1605.80
Brokerage Contribution	Savings	Taxable Brokerage	Checking	10/29/2021	200.00	1405.80
Amazon	Wants	Free Spending	Amazon CC	10/30/2021	53.64	1405.80
Bill Reimbursement	Income	Reimbursements	Checking	10/31/2021	76.26	1482.06
Ralphs	Needs	Groceries	Citi CC	11/1/2021	46.74	1482.06
Rent	Needs	Rent	Checking	11/1/2021	1117.60	364.46
Chipotle	Wants	Free Spending	Chase CC	11/5/2021	12.55	364.46
Coinbase	Savings	Crypto Savings	Checking	11/5/2021	50.00	314.46
Speedway	Needs	Gas	Citi CC	11/5/2021	65.54	314.46
Speedway	Wants	Free Spending	Chase CC	11/6/2021	15.97	314.46
The Renegade Noho	Wants	Free Spending	Chase CC	11/6/2021	17.00	314.46
Starbucks	Wants	Free Spending	Amazon CC	11/7/2021	10.00	314.46
Shibuyala	Wants	Free Spending	Chase CC	11/7/2021	12.93	314.46
A&J Restaurant	Wants	Free Spending	Chase CC	11/7/2021	52.00	314.46
Starbucks	Wants	Free Spending	Amazon CC	11/8/2021	10.00	314.46
Wholesome Choice	Wants	Free Spending	Chase CC	11/8/2021	31.52	314.46
Electric Bill	Needs	Electric Bill	Checking	11/9/2021	32.24	282.22
Payday	Income	Earnings	Checking	11/12/2021	1723.27	2005.49
Coinbase	Savings	Crypto Savings	Checking	11/12/2021	50.00	1955.49
Apple CC	CC Payment	CC Payment	Checking	11/12/2021	55.78	1899.71
Amazon CC	CC Payment	CC Payment	Checking	11/12/2021	65.01	1834.70
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	11/12/2021	125.00	1834.70
Brokerage Contribution	Savings	Taxable Brokerage	Checking	11/12/2021	200.00	1634.70
Citi CC	CC Payment	CC Payment	Checking	11/12/2021	225.49	1409.21
Chase CC	CC Payment	CC Payment	Checking	11/12/2021	754.49	654.72
Ralphs	Wants	Free Spending	Citi CC	11/13/2021	11.09	654.72
Chronic Tacos	Wants	Free Spending	Chase CC	11/13/2021	13.15	654.72
McDonald's	Wants	Free Spending	Chase CC	11/14/2021	21.62	654.72
Petsmart	Wants	Free Spending	Chase CC	11/14/2021	43.57	654.72
Siam Wala Thai Massage	Wants	Free Spending	Chase CC	11/14/2021	80.00	654.72
Federal Loans	Needs	Student Loans	Checking	11/14/2021	308.05	346.67
McDonald's	Wants	Free Spending	Chase CC	11/15/2021	9.47	346.67
Jamboree Smog	Needs	Misc.	Chase CC	11/15/2021	38.00	346.67
Costco	Wants	Free Spending	Chase CC	11/15/2021	152.78	346.67
Target	Wants	Free Spending	Chase CC	11/17/2021	84.02	346.67
DMV Registration	Needs	Misc.	Checking	11/17/2021	201.00	145.67
Chipotle	Wants	Free Spending	Chase CC	11/19/2021	9.91	145.67
Coinbase	Savings	Crypto Savings	Checking	11/19/2021	50.00	95.67
Stock Portfolio	Income	Earnings	Checking	11/20/2021	1085.08	1180.75
Speedway	Wants	Free Spending	Chase CC	11/20/2021	12.77	1180.75
Domino's	Wants	Free Spending	Chase CC	11/20/2021	33.56	1180.75
LA Fitness	Wants	Subscriptions	Chase CC	11/20/2021	34.99	1180.75
Zelle	Wants	Free Spending	Checking	11/20/2021	60.00	1120.75
Withdrawal	Wants	Free Spending	Checking	11/20/2021	100.00	1020.75
Photasia	Wants	Free Spending	Chase CC	11/21/2021	21.87	1020.75
Twohey's	Wants	Free Spending	Chase CC	11/21/2021	54.00	1020.75
Speedway	Needs	Gas	Citi CC	11/21/2021	75.01	1020.75
Reimbursement	Wants	Free Spending	Checking	11/22/2021	18.00	1038.75
Starbucks	Wants	Vacation Spending	Chase CC	11/24/2021	7.00	1038.75
Jersey Mike's	Wants	Vacation Spending	Chase CC	11/24/2021	11.87	1038.75
Zenko Sushi	Wants	Free Spending	Chase CC	11/24/2021	43.95	1038.75
Renter's Insurance	Needs	Renter's Insurance	Checking	11/24/2021	59.50	979.25
Cinemark	Wants	Vacation Spending	Chase CC	11/25/2021	10.08	979.25
Uber	Wants	Vacation Spending	Chase CC	11/25/2021	68.90	979.25
Payday	Income	Earnings	Checking	11/26/2021	2594.77	3574.02
HBO Max	Wants	Subscriptions	Chase CC	11/26/2021	7.49	3574.02
Coinbase	Savings	Crypto Savings	Checking	11/26/2021	50.00	3524.02
White Dog Brewery	Wants	Vacation Spending	Chase CC	11/26/2021	60.00	3524.02
Brokerage Contribution	Savings	Taxable Brokerage	Checking	11/26/2021	200.00	3324.02
Chevron	Wants	Vacation Spending	Citi CC	11/27/2021	5.82	3324.02
10 Barrel Brewery	Wants	Vacation Spending	Chase CC	11/27/2021	37.00	3324.02
ESPN+	Wants	Subscriptions	Chase CC	11/29/2021	6.99	3324.02
Ishtar Market	Wants	Vacation Spending	Chase CC	11/29/2021	12.51	3324.02
Moe Joe's	Wants	Vacation Spending	Chase CC	11/29/2021	33.00	3324.02
Chevron	Wants	Vacation Spending	Citi CC	11/29/2021	39.00	3324.02
JC Penney	Wants	Free Spending	Chase CC	11/29/2021	48.76	3324.02
Venmo	Wants	Free Spending	Checking	11/29/2021	50.00	3274.02
Internet Bill	Needs	Internet Bill	Checking	11/29/2021	83.99	3190.03
Bill Reimbursement	Income	Reimbursements	Checking	11/30/2021	85.37	3275.40
Albertson's	Wants	Vacation Spending	Citi CC	11/30/2021	41.65	3275.40
Taxi	Wants	Vacation Spending	Chase CC	11/30/2021	68.25	3275.40
Car Insurance	Needs	Car Insurance	Checking	11/30/2021	142.80	3132.60
Ralph's	Needs	Groceries	Citi CC	12/1/2021	39.91	3132.60
Tijuana Airbnb	Wants	Vacation Spending	Checking	12/1/2021	112.58	3020.02
Rent	Needs	Rent	Checking	12/1/2021	1119.20	1900.82
Chase CC	CC Payment	CC Payment	Checking	12/1/2021	1363.06	537.76
Coinbase	Savings	Crypto Savings	Checking	12/3/2021	50.00	487.76
McDonald's	Wants	Free Spending	Chase CC	12/4/2021	18.57	487.76
76	Needs	Gas	Citi CC	12/4/2021	35.69	487.76
Big Bear Brewery	Wants	Free Spending	Chase CC	12/4/2021	65.06	487.76
Flores Markets	Wants	Free Spending	Chase CC	12/5/2021	18.59	487.76
Apple CC	CC Payment	CC Payment	Checking	12/5/2021	55.78	431.98
Target	Needs	Groceries	Chase CC	12/6/2021	52.69	431.98
In N Out	Wants	Free Spending	Chase CC	12/7/2021	8.89	431.98
Speedway	Needs	Gas	Citi CC	12/7/2021	76.10	431.98
Carls Jr	Wants	Free Spending	Amazon CC	12/9/2021	12.26	431.98
Amazon	Wants	Free Spending	Amazon CC	12/9/2021	96.89	431.98
Payday	Income	Earnings	Checking	12/10/2021	1642.20	2074.18
Nate's Korner	Wants	Free Spending	Chase CC	12/10/2021	14.10	2074.18
Amazon CC	CC Payment	CC Payment	Checking	12/10/2021	20.00	2054.18
Coinbase	Savings	Crypto Savings	Checking	12/10/2021	50.00	2004.18
Electric Bill	Needs	Electric Bill	Checking	12/10/2021	63.49	1940.69
Brokerage Contribution	Savings	Taxable Brokerage	Checking	12/10/2021	200.00	1740.69
Citi CC	CC Payment	CC Payment	Checking	12/10/2021	324.76	1415.93
El Mejor Pan De Tecate	Wants	Vacation Spending	Amazon CC	12/11/2021	12.34	1415.93
Piedra Santa	Wants	Vacation Spending	Amazon CC	12/11/2021	46.93	1415.93
La Casa Del Habano	Wants	Vacation Spending	Amazon CC	12/11/2021	87.00	1415.93
Casa Frida	Wants	Vacation Spending	Amazon CC	12/12/2021	38.41	1415.93
Casa Frida	Wants	Vacation Spending	Amazon CC	12/12/2021	52.33	1415.93
ESPN+	Wants	Free Spending	Chase CC	12/12/2021	69.99	1415.93
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	12/12/2021	125.00	1415.93
Chipotle	Wants	Free Spending	Chase CC	12/13/2021	13.25	1415.93
Chevron	Wants	Vacation Spending	Citi CC	12/13/2021	37.42	1415.93
Q-Redew	Wants	Free Spending	Chase CC	12/14/2021	81.00	1415.93
Federal Loans	Needs	Student Loans	Checking	12/14/2021	308.05	1107.88
Total Wine	Wants	Free Spending	Chase CC	12/15/2021	47.58	1107.88
Amazon	Wants	Free Spending	Amazon CC	12/15/2021	53.09	1107.88
Costco	Needs	Groceries	Chase CC	12/15/2021	107.04	1107.88
Coinbase	Savings	Crypto Savings	Checking	12/17/2021	50.00	1057.88
In N Out	Wants	Free Spending	Chase CC	12/18/2021	8.89	1057.88
McDonald's	Wants	Free Spending	Chase CC	12/18/2021	22.56	1057.88
LinkedIn	Wants	Free Spending	Chase CC	12/18/2021	29.99	1057.88
USC Parking	Wants	Free Spending	Chase CC	12/18/2021	50.00	1057.88
Denny's	Wants	Free Spending	Chase CC	12/19/2021	40.00	1057.88
Amazon	Wants	Free Spending	Amazon CC	12/20/2021	12.01	1057.88
McDonald's	Wants	Free Spending	Chase CC	12/20/2021	21.96	1057.88
LA Fitness	Wants	Subscriptions	Chase CC	12/20/2021	34.99	1057.88
Noble Bird	Wants	Free Spending	Chase CC	12/20/2021	40.80	1057.88
Yogurtland	Wants	Free Spending	Chase CC	12/22/2021	9.43	1057.88
Ralph's	Wants	Free Spending	Citi CC	12/22/2021	13.99	1057.88
Payday	Income	Earnings	Checking	12/24/2021	1642.19	2700.07
McDonald's	Wants	Free Spending	Chase CC	12/24/2021	17.30	2700.07
Withdrawal	Wants	Free Spending	Checking	12/24/2021	40.00	2660.07
Coinbase	Savings	Crypto Savings	Checking	12/24/2021	50.00	2610.07
Chevron	Wants	Free Spending	Citi CC	12/24/2021	78.00	2610.07
Brokerage Contribution	Savings	Taxable Brokerage	Checking	12/24/2021	200.00	2410.07
Circle K	Wants	Free Spending	Chase CC	12/25/2021	11.46	2410.07
HBO Max	Wants	Subscriptions	Chase CC	12/26/2021	7.49	2410.07
AMC	Wants	Free Spending	Chase CC	12/26/2021	13.44	2410.07
AMC	Wants	Free Spending	Chase CC	12/26/2021	31.65	2410.07
Circle K	Wants	Free Spending	Citi CC	12/27/2021	68.73	2410.07
Jackrabbit Java	Wants	Free Spending	Chase CC	12/28/2021	11.82	2410.07
Internet Bill	Needs	Internet Bill	Checking	12/28/2021	83.99	2326.08
Car Insurance	Needs	Car Insurance	Checking	12/28/2021	142.80	2183.28
ESPN+	Wants	Subscriptions	Chase CC	12/29/2021	6.99	2183.28
Bill Reimbursement	Income	Reimbursements	Checking	12/31/2021	143.73	2327.01
McDonald's	Wants	Free Spending	Chase CC	12/31/2021	14.51	2327.01
Coinbase	Savings	Crypto Savings	Checking	12/31/2021	50.00	2277.01
Target	Wants	Free Spending	Chase CC	12/31/2021	52.96	2277.01
Speedway	Needs	Gas	Citi CC	12/31/2021	70.42	2277.01
Rent	Needs	Rent	Checking	1/1/2022	1121.51	1155.50
Love Letter Pizza	Wants	Free Spending	Chase CC	1/2/2022	68.87	1155.50
Bird	Wants	Free Spending	Chase CC	1/3/2022	11.96	1155.50
The Breakfast Bar	Wants	Free Spending	Chase CC	1/3/2022	38.00	1155.50
Ralph's	Needs	Groceries	Citi CC	1/3/2022	79.77	1155.50
Del Taco	Wants	Free Spending	Chase CC	1/4/2022	10.59	1155.50
Apple CC	CC Payment	CC Payment	Checking	1/5/2022	55.78	1099.72
Olive Branch Express	Wants	Free Spending	Chase CC	1/6/2022	16.08	1099.72
Stephanie	Wants	Free Spending	Chase CC	1/6/2022	175.00	1099.72
Payday	Income	Earnings	Checking	1/7/2022	1639.97	2739.69
IRA Contribution	Savings	Retirement	Checking	1/7/2022	300.00	2439.69
Citi CC	CC Payment	CC Payment	Checking	1/7/2022	380.35	2059.34
Amazon CC	CC Payment	CC Payment	Checking	1/7/2022	411.26	1648.08
Chase CC	CC Payment	CC Payment	Checking	1/7/2022	1131.23	516.85
East Borough	Wants	Free Spending	Chase CC	1/8/2022	40.17	516.85
In N Out	Wants	Free Spending	Chase CC	1/9/2022	11.10	516.85
Sushi Damu	Wants	Free Spending	Chase CC	1/9/2022	45.00	516.85
Trader Joe's	Needs	Groceries	Citi CC	1/10/2022	22.58	516.85
Electric Bill	Needs	Electric Bill	Checking	1/10/2022	66.39	450.46
Triunfo Jiu Jitsu	Wants	Subscriptions	Chase CC	1/12/2022	125.00	450.46
Withdrawal	Wants	Free Spending	Checking	1/14/2022	60.00	390.46
Federal Loans	Needs	Student Loans	Checking	1/14/2022	308.05	82.41
Northgate Market	Wants	Free Spending	Citi CC	1/15/2022	15.06	82.41
Starbucks	Wants	Free Spending	Chase CC	1/16/2022	9.50	82.41
99 Cents Store	Wants	Free Spending	Citi CC	1/16/2022	15.39	82.41
LinkedIn	Wants	Free Spending	Chase CC	1/18/2022	15.00	82.41
LA Fitness	Wants	Subscriptions	Chase CC	1/20/2022	34.99	82.41
Payday	Income	Earnings	Checking	1/21/2022	1628.65	1711.06
OF	Wants	Free Spending	Citi CC	1/21/2022	5.25	1711.06
IRA Contribution	Savings	Retirement	Checking	1/21/2022	300.00	1411.06
7/11	Wants	Free Spending	Chase CC	1/22/2022	7.38	1411.06
